bits,1011,1101111,100110001,1100010110011001
128,312,378,403,454
256,827,992,1054,1363
512,3202,3486,3491,3890
1024,11208,12060,11887,13408
2048,40811,41728,43896,43994
4096,164501,163309,169510,173514
8192,643830,666649,671739,666446
16384,2593751,2575724,2637724,2645767
32768,10850032,11055926,11060545,11030764
