bits,8-bit,16-bit,32-bit,64-bit
128,14,5,4,3
256,14,7,5,3
512,27,14,8,6
1024,52,27,16,10
2048,107,54,30,18
4096,214,102,57,35
8192,448,210,113,68
16384,872,424,231,135
32768,1731,849,472,275
